# Stage D baseline of record -- cold build at f49d73d (rm -rf build/ first), 36 targets run sequentially.
# Format: target|fusesoc rc|test counts|sim end time (ns). Diff mechanically after every commit.
# Totals: 36 targets / 258 tests / 258 PASS / 0 FAIL / 0 SKIP.
# Sim-time invariant: verilate_tlp_cpl_timeout_off == verilate_tlp_request_tracker == 580.00 ns.
verilate_tlp_requester|rc=0|TESTS=3 PASS=3 FAIL=0 SKIP=0|simend=760.00
verilate_tlp_request_tracker|rc=0|TESTS=2 PASS=2 FAIL=0 SKIP=0|simend=580.00
verilate_tlp_parser|rc=0|TESTS=3 PASS=3 FAIL=0 SKIP=0|simend=860.00
verilate_tlp_generator|rc=0|TESTS=3 PASS=3 FAIL=0 SKIP=0|simend=490.00
verilate_tlp_completion_gen|rc=0|TESTS=2 PASS=2 FAIL=0 SKIP=0|simend=890.00
verilate_tlp_comb|rc=0|TESTS=3 PASS=3 FAIL=0 SKIP=0|simend=108.00
verilate_tlp_payload_formatter|rc=0|TESTS=2 PASS=2 FAIL=0 SKIP=0|simend=5230.00
verilate_tlp_compile|rc=0|TESTS=4 PASS=4 FAIL=0 SKIP=0|simend=690.00
verilate_tlp_cfg0_spine|rc=0|TESTS=2 PASS=2 FAIL=0 SKIP=0|simend=550.00
verilate_tlp_conf_requester|rc=0|TESTS=10 PASS=10 FAIL=0 SKIP=0|simend=3910.01
verilate_tlp_conf_tracker|rc=0|TESTS=7 PASS=7 FAIL=0 SKIP=0|simend=4140.01
verilate_tlp_conf_parser|rc=0|TESTS=12 PASS=12 FAIL=0 SKIP=0|simend=1900.01
verilate_tlp_conf_completion|rc=0|TESTS=6 PASS=6 FAIL=0 SKIP=0|simend=1580.01
verilate_tlp_conf_generator|rc=0|TESTS=2 PASS=2 FAIL=0 SKIP=0|simend=340.00
verilate_tlp_conf_classifier|rc=0|TESTS=11 PASS=11 FAIL=0 SKIP=0|simend=36.01
verilate_tlp_conf_cfgbe|rc=0|TESTS=7 PASS=7 FAIL=0 SKIP=0|simend=21070.01
verilate_tlp_conf_datalast|rc=0|TESTS=5 PASS=5 FAIL=0 SKIP=0|simend=2820.01
verilate_tlp_conf_formatter|rc=0|TESTS=4 PASS=4 FAIL=0 SKIP=0|simend=610.00
verilate_tlp_cpl_timeout|rc=0|TESTS=5 PASS=5 FAIL=0 SKIP=0|simend=6770.02
verilate_tlp_cpl_timeout_default|rc=0|TESTS=1 PASS=1 FAIL=0 SKIP=0|simend=41390.00
verilate_tlp_cpl_timeout_off|rc=0|TESTS=2 PASS=2 FAIL=0 SKIP=0|simend=580.00
verilate_tlp_credit_manager|rc=0|TESTS=18 PASS=18 FAIL=0 SKIP=0|simend=21220.05
verilate_tlp_credit_integration|rc=0|TESTS=2 PASS=2 FAIL=0 SKIP=0|simend=1510.00
verilate_axis_gearbox|rc=0|TESTS=11 PASS=11 FAIL=0 SKIP=0|simend=195768.01
verilate_rq_if|rc=0|TESTS=11 PASS=11 FAIL=0 SKIP=0|simend=9992.01
verilate_rq_if_tlp|rc=0|TESTS=9 PASS=9 FAIL=0 SKIP=0|simend=8800.01
verilate_rc_if|rc=0|TESTS=11 PASS=11 FAIL=0 SKIP=0|simend=14620.01
verilate_rc_if_tlp|rc=0|TESTS=4 PASS=4 FAIL=0 SKIP=0|simend=1028.00
verilate_rq_rc_top|rc=0|TESTS=9 PASS=9 FAIL=0 SKIP=0|simend=53860.01
verilate_enum_txn|rc=0|TESTS=14 PASS=14 FAIL=0 SKIP=0|simend=3652.01
verilate_enum_txn_tlp|rc=0|TESTS=9 PASS=9 FAIL=0 SKIP=0|simend=39168.01
verilate_enum_scan|rc=0|TESTS=16 PASS=16 FAIL=0 SKIP=0|simend=6712.02
verilate_enum_scan_tlp|rc=0|TESTS=8 PASS=8 FAIL=0 SKIP=0|simend=67840.01
verilate_enum_bar|rc=0|TESTS=32 PASS=32 FAIL=0 SKIP=0|simend=14244.03
verilate_enum_bar_tlp|rc=0|TESTS=7 PASS=7 FAIL=0 SKIP=0|simend=30476.01
verilate_conformance|rc=0|TESTS=1 PASS=1 FAIL=0 SKIP=0|simend=6010.00
# --- Stage D-2 addendum, 2026-07-31: cold build after RTL 5de74df + tripwire 9bdcd15 + the D-2 tb commit ---
# New totals: 38 targets / 274 tests / 274 PASS / 0 FAIL / 0 SKIP.  580.00 ns invariant holds.
# Diff rule for later sessions: use the five lines below where they name a target, the original block otherwise.
# (conf_cfg1 / cfg1_spine are the D-1b targets, unchanged from their Session-3 record -- restated here so this
# file is a complete 38-target diff base on its own.)
verilate_tlp_conf_cfg1|rc=0|TESTS=5 PASS=5 FAIL=0 SKIP=0|simend=9250.00
verilate_tlp_cfg1_spine|rc=0|TESTS=3 PASS=3 FAIL=0 SKIP=0|simend=820.00
verilate_rq_if|rc=0|TESTS=16 PASS=16 FAIL=0 SKIP=0|simend=12876.02
verilate_rq_if_tlp|rc=0|TESTS=11 PASS=11 FAIL=0 SKIP=0|simend=9396.01
verilate_rq_rc_top|rc=0|TESTS=10 PASS=10 FAIL=0 SKIP=0|simend=54208.01
# --- Stage D-3 addendum, 2026-07-31: cold build at c6fa47c (rm -rf build/ first), 40 targets sequential ---
# New totals: 40 targets / 294 tests / 294 PASS / 0 FAIL / 0 SKIP.  580.00 ns invariant holds.
# Diff rule for later sessions: the four lines below override where they name a target; then the D-2
# addendum's lines; then the original block.  Growth this stage: enum_txn +3 (E15..E17, the cmd_type1_i
# goldens), enum_txn_tlp +2 (I10/I11), and two NEW targets -- enum_bus (N1..N10, the bridge sequencer
# standalone) and enum_bridge_tlp (B1..B5, the Stage D acceptance).
# Decomposed: tb_tlp 25/124, RC surface 6/63, enum 8/106, conformance 1/1.
verilate_enum_txn|rc=0|TESTS=17 PASS=17 FAIL=0 SKIP=0|simend=3940.02
verilate_enum_txn_tlp|rc=0|TESTS=11 PASS=11 FAIL=0 SKIP=0|simend=39696.01
verilate_enum_bus|rc=0|TESTS=10 PASS=10 FAIL=0 SKIP=0|simend=2480.01
verilate_enum_bridge_tlp|rc=0|TESTS=5 PASS=5 FAIL=0 SKIP=0|simend=17800.01
